id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
28,Frankie Amaya,USA,Midfielder,,NY Red Bulls,23,2000,20,18,"1,608",1,2,3,4,0
29,Malte Amundsen,DEN,Defender,,Columbus Crew,25,1998,31,26,"2,295",1,2,3,7,0
30,Markus Anderson,USA,Midfielder,Forward,Philadelphia Union,20,2003,4,2,97,0,0,0,0,0
31,Sebastian Anderson,USA,Defender,,Colorado Rapids,21,2002,9,5,507,0,1,1,1,0
32,José Andrés Martínez,VEN,Midfielder,,Philadelphia Union,29,1994,16,13,"1,016",0,1,1,4,0
33,Tomas Ángel,COL,Forward,Midfielder,LAFC,20,2003,5,0,51,1,0,1,0,0
34,Iván Angulo,COL,Forward,Midfielder,Orlando City,24,1999,34,34,"2,759",5,6,11,4,0
35,Eugene Ansah,GHA,Forward,Midfielder,FC Dallas,29,1994,17,5,434,1,0,1,0,0
36,Conner Antley,USA,Defender,,D.C. United,28,1995,7,4,434,0,1,1,2,0
37,Antony,BRA,Forward,Midfielder,Portland Timbers,22,2001,33,20,"1,886",6,4,10,0,0
38,Brian Anunga,CMR,Midfielder,,Nashville SC,27,1996,30,17,"1,453",0,0,0,3,1
39,Cristian Arango,COL,Forward,Midfielder,Real Salt Lake,28,1995,30,26,"2,286",17,6,23,7,0
40,César Araujo,URU,Midfielder,,Orlando City,22,2001,30,28,"2,418",1,1,2,12,0
41,Miguel Araujo,PER,Defender,,Portland Timbers,29,1994,22,17,"1,543",0,2,2,2,0
42,Scott Arfield,CAN,Midfielder,Forward,Charlotte,35,1988,14,4,381,0,1,1,2,1
43,Maximilian Arfsten,USA,Defender,,Columbus Crew,22,2001,31,23,"1,966",4,5,9,2,0
44,Allan Arigoni,SUI,Defender,,Chicago Fire,25,1998,28,25,"2,096",1,0,1,6,0
45,Daniel Armando Ríos,MEX,Forward,,Atlanta Utd,28,1995,27,16,"1,359",7,3,10,0,0
46,Stuart Armstrong,SCO,Midfielder,Forward,Vancouver W'caps,31,1992,6,1,128,1,0,1,1,0
47,Xavier Arreaga,ECU,Defender,,NE Revolution,29,1994,23,22,"1,934",0,0,0,6,0
48,Xavier Arreaga,ECU,Defender,,Seattle Sounders FC,29,1994,5,2,255,0,0,0,1,0
49,Kervin Arriaga,HON,Defender,Midfielder,Minnesota Utd,26,1998,13,9,880,3,0,3,3,0
50,Paul Arriola,USA,Defender,Midfielder,FC Dallas,28,1995,31,28,"2,456",5,2,7,7,0
51,Artur,BRA,Midfielder,,Houston Dynamo,27,1996,34,34,"3,038",0,1,1,4,0
52,Yamil Asad,ARG,Defender,,FC Cincinnati,29,1994,23,8,800,3,5,8,1,0
53,Dairon Asprilla,COL,Forward,Defender,Portland Timbers,31,1992,19,7,687,1,1,2,1,0
54,Joshua Atencio,USA,Midfielder,,Seattle Sounders FC,22,2002,22,12,"1,069",0,1,1,3,1
55,Eduard Atuesta,COL,Midfielder,,LAFC,26,1997,28,25,"2,190",4,2,6,9,1
56,Julián Aude,ARG,Defender,,LA Galaxy,20,2003,25,21,"1,692",1,2,3,3,0
